metric,value
cohort_persons,30
cross_persons,0
cross_krr,0.00000000
cross_ber_mean,0.00000000
impostor_pairs,435
impostor_far,0.00000000
context_eer,0.01333333
context_auc,0.99186207
rs_t,32
policy_max_correct,28
single_balanced_krr_micro,0.16666667
single_balanced_krr_macro,0.16666667
single_balanced_ber_mean,29.50000000
single_balanced_ber_p95,31.55000000
single_balanced_n_attempts,30
single_extended_krr_micro,0.21693122
single_extended_krr_macro,0.19814819
single_extended_ber_mean,29.72751323
single_extended_ber_p95,32.00000000
single_extended_n_attempts,378
vote5_balanced_krr_micro,0.86666667
vote5_balanced_krr_macro,0.86666667
vote5_balanced_ber_mean,23.46666667
vote5_balanced_ber_p95,29.00000000
vote5_balanced_n_attempts,30
vote5_extended_krr_micro,0.89153439
vote5_extended_krr_macro,0.86953107
vote5_extended_ber_mean,24.02910053
vote5_extended_ber_p95,30.00000000
vote5_extended_n_attempts,378
theta0_krr,1.00000000
theta1_krr,1.00000000
theta2_krr,1.00000000
theta3_krr,1.00000000
theta4_krr,1.00000000
theta5_krr,1.00000000
theta6_krr,1.00000000
theta7_krr,1.00000000
theta8_krr,1.00000000
theta9_krr,1.00000000
theta10_krr,1.00000000
theta11_krr,1.00000000
theta12_krr,1.00000000
theta13_krr,1.00000000
theta14_krr,1.00000000
theta15_krr,1.00000000
theta16_krr,1.00000000
theta17_krr,1.00000000
theta18_krr,1.00000000
theta19_krr,1.00000000
theta20_krr,1.00000000
theta21_krr,1.00000000
theta22_krr,1.00000000
theta23_krr,1.00000000
theta24_krr,1.00000000
theta25_krr,1.00000000
theta26_krr,1.00000000
theta27_krr,1.00000000
theta28_krr,1.00000000
theta29_krr,0.00000000
theta30_krr,0.00000000
theta31_krr,0.00000000
theta32_krr,0.00000000
