person,step,ok,seconds
Abdullah_Gul,bio_rep,1,0.00445771
Abdullah_Gul,register,1,0.19230413
Abdullah_Gul,as_req,1,0.19024682
Abdullah_Gul,tgs,1,0.00484157
Abdullah_Gul,ap_req,1,0.00170994
Adrien_Brody,bio_rep,1,0.00413609
Adrien_Brody,register,1,0.19118094
Adrien_Brody,as_req,1,0.18895602
Adrien_Brody,tgs,1,0.00465369
Adrien_Brody,ap_req,1,0.00171185
Ahmed_Chalabi,bio_rep,1,0.00403380
Ahmed_Chalabi,register,1,0.18690538
Ahmed_Chalabi,as_req,1,0.18623304
Ahmed_Chalabi,tgs,1,0.00453067
Ahmed_Chalabi,ap_req,1,0.00169945
Ai_Sugiyama,bio_rep,1,0.00378633
Ai_Sugiyama,register,1,0.18480229
Ai_Sugiyama,as_req,1,0.18819261
Ai_Sugiyama,tgs,1,0.00450706
Ai_Sugiyama,ap_req,1,0.00167060
Al_Gore,bio_rep,1,0.00383067
Al_Gore,register,1,0.18771362
Al_Gore,as_req,1,0.18771720
Al_Gore,tgs,1,0.00454187
Al_Gore,ap_req,1,0.00163817
Al_Sharpton,bio_rep,1,0.00388694
Al_Sharpton,register,1,0.18366909
Al_Sharpton,as_req,1,0.18350673
Al_Sharpton,tgs,1,0.00444984
Al_Sharpton,ap_req,1,0.00166106
Alan_Greenspan,bio_rep,1,0.00390339
Alan_Greenspan,register,1,0.18195462
Alan_Greenspan,as_req,1,0.18712664
Alan_Greenspan,tgs,1,0.00440550
Alan_Greenspan,ap_req,1,0.00162983
Alastair_Campbell,bio_rep,1,0.00376773
Alastair_Campbell,register,1,0.18152523
Alastair_Campbell,as_req,1,0.21336651
Alastair_Campbell,tgs,1,0.00509143
Alastair_Campbell,ap_req,1,0.00186563
Albert_Costa,bio_rep,1,0.00404835
Albert_Costa,register,1,0.18629098
Albert_Costa,as_req,1,0.18417287
Albert_Costa,tgs,1,0.00448704
Albert_Costa,ap_req,1,0.00166416
Alejandro_Toledo,bio_rep,1,0.00396085
Alejandro_Toledo,register,1,0.18290615
Alejandro_Toledo,as_req,1,0.18411422
Alejandro_Toledo,tgs,1,0.00438452
Alejandro_Toledo,ap_req,1,0.00167799
Ali_Naimi,bio_rep,1,0.00341964
Ali_Naimi,register,1,0.18351960
Ali_Naimi,as_req,1,0.18350291
Ali_Naimi,tgs,1,0.00442624
Ali_Naimi,ap_req,1,0.00166035
Allyson_Felix,bio_rep,1,0.00400710
Allyson_Felix,register,1,0.18400192
Allyson_Felix,as_req,1,0.18442941
Allyson_Felix,tgs,1,0.00438762
Allyson_Felix,ap_req,1,0.00165105
Alvaro_Uribe,bio_rep,1,0.00386143
Alvaro_Uribe,register,1,0.18086290
Alvaro_Uribe,as_req,1,0.18272638
Alvaro_Uribe,tgs,1,0.00441408
Alvaro_Uribe,ap_req,1,0.00165606
Amelia_Vega,bio_rep,1,0.00373912
Amelia_Vega,register,1,0.17841935
Amelia_Vega,as_req,1,0.18064809
Amelia_Vega,tgs,1,0.00432587
Amelia_Vega,ap_req,1,0.00165629
Amelie_Mauresmo,bio_rep,1,0.00367737
Amelie_Mauresmo,register,1,0.17683792
Amelie_Mauresmo,as_req,1,0.17866158
Amelie_Mauresmo,tgs,1,0.00434756
Amelie_Mauresmo,ap_req,1,0.00165033
Ana_Guevara,bio_rep,1,0.00386262
Ana_Guevara,register,1,0.17706490
Ana_Guevara,as_req,1,0.18004799
Ana_Guevara,tgs,1,0.00444460
Ana_Guevara,ap_req,1,0.00162888
Ana_Palacio,bio_rep,1,0.00406432
Ana_Palacio,register,1,0.17822456
Ana_Palacio,as_req,1,0.18830109
Ana_Palacio,tgs,1,0.00425053
Ana_Palacio,ap_req,1,0.00160027
Andre_Agassi,bio_rep,1,0.00382996
Andre_Agassi,register,1,0.17851567
Andre_Agassi,as_req,1,0.17703485
Andre_Agassi,tgs,1,0.00433898
Andre_Agassi,ap_req,1,0.00163579
Andy_Roddick,bio_rep,1,0.00349760
Andy_Roddick,register,1,0.18006110
Andy_Roddick,as_req,1,0.17759323
Andy_Roddick,tgs,1,0.00434160
Andy_Roddick,ap_req,1,0.00159073
Angela_Bassett,bio_rep,1,0.00388122
Angela_Bassett,register,1,0.17654204
Angela_Bassett,as_req,1,0.17717218
Angela_Bassett,tgs,1,0.00434589
Angela_Bassett,ap_req,1,0.00158310
Angela_Merkel,bio_rep,1,0.00386596
Angela_Merkel,register,1,0.17733979
Angela_Merkel,as_req,1,0.17892671
Angela_Merkel,tgs,1,0.00433683
Angela_Merkel,ap_req,1,0.00159121
Angelina_Jolie,bio_rep,1,0.00370574
Angelina_Jolie,register,1,0.17716432
Angelina_Jolie,as_req,1,0.17964792
Angelina_Jolie,tgs,1,0.00431943
Angelina_Jolie,ap_req,1,0.00161743
Ann_Veneman,bio_rep,1,0.00388265
Ann_Veneman,register,1,0.17785478
Ann_Veneman,as_req,1,0.17868257
Ann_Veneman,tgs,1,0.00426292
Ann_Veneman,ap_req,1,0.00159359
Anna_Kournikova,bio_rep,1,0.00382757
Anna_Kournikova,register,1,0.17786217
Anna_Kournikova,as_req,1,0.17956185
Anna_Kournikova,tgs,1,0.00437856
Anna_Kournikova,ap_req,1,0.00159764
Antonio_Banderas,bio_rep,1,0.00371718
Antonio_Banderas,register,1,0.17844081
Antonio_Banderas,as_req,1,0.17845964
Antonio_Banderas,tgs,1,0.00424147
Antonio_Banderas,ap_req,1,0.00162768
Antonio_Palocci,bio_rep,1,0.00361824
Antonio_Palocci,register,1,0.17422795
Antonio_Palocci,as_req,1,0.17688060
Antonio_Palocci,tgs,1,0.00439095
Antonio_Palocci,ap_req,1,0.00164962
Ari_Fleischer,bio_rep,1,0.00378203
Ari_Fleischer,register,1,0.17651987
Ari_Fleischer,as_req,1,0.17509937
Ari_Fleischer,tgs,1,0.00435400
Ari_Fleischer,ap_req,1,0.00158930
Ariel_Sharon,bio_rep,1,0.00375199
Ariel_Sharon,register,1,0.17466855
Ariel_Sharon,as_req,1,0.17484546
Ariel_Sharon,tgs,1,0.00438166
Ariel_Sharon,ap_req,1,0.00159240
Arminio_Fraga,bio_rep,0,0.00446105
Arminio_Fraga,register,1,0.17390013
Arminio_Fraga,as_req,1,0.17526603
Arminio_Fraga,tgs,1,0.00438643
Arminio_Fraga,ap_req,1,0.00163627
Arnold_Schwarzenegger,bio_rep,1,0.00374460
Arnold_Schwarzenegger,register,1,0.17422295
Arnold_Schwarzenegger,as_req,1,0.17667508
Arnold_Schwarzenegger,tgs,1,0.00426793
Arnold_Schwarzenegger,ap_req,1,0.00157619
