person,step,ok,seconds
Abdullah_Gul,enroll,1,0.28438568
Abdullah_Gul,as_req,1,0.26902890
Abdullah_Gul,tgs,1,0.00400186
Abdullah_Gul,ap_req,1,0.00140619
Adrien_Brody,enroll,1,0.28970051
Adrien_Brody,as_req,1,0.27104640
Adrien_Brody,tgs,1,0.00382972
Adrien_Brody,ap_req,1,0.00136352
Al_Gore,enroll,1,0.28751516
Al_Gore,as_req,1,0.26691628
Al_Gore,tgs,1,0.00351906
Al_Gore,ap_req,1,0.00125170
Al_Sharpton,enroll,1,0.28224921
Al_Sharpton,as_req,1,0.26875830
Al_Sharpton,tgs,1,0.00366640
Al_Sharpton,ap_req,1,0.00133300
Albert_Costa,enroll,1,0.28265643
Albert_Costa,as_req,1,0.26595569
Albert_Costa,tgs,1,0.00357962
Albert_Costa,ap_req,1,0.00132942
Alejandro_Toledo,enroll,1,0.28304601
Alejandro_Toledo,as_req,1,0.26875901
Alejandro_Toledo,tgs,1,0.00386405
Alejandro_Toledo,ap_req,1,0.00146127
Ali_Naimi,enroll,1,0.28383493
Ali_Naimi,as_req,1,0.27117729
Ali_Naimi,tgs,1,0.00354028
Ali_Naimi,ap_req,1,0.00129652
Alvaro_Uribe,enroll,1,0.28374076
Alvaro_Uribe,as_req,1,0.27052975
Alvaro_Uribe,tgs,1,0.00360990
Alvaro_Uribe,ap_req,1,0.00125551
Amelia_Vega,enroll,1,0.28818440
Amelia_Vega,as_req,0,0.00418282
Amelia_Vega,tgs,0,0.00000000
Amelia_Vega,ap_req,0,0.00000000
Amelie_Mauresmo,enroll,1,0.28622127
Amelie_Mauresmo,as_req,1,0.26404476
Amelie_Mauresmo,tgs,1,0.00372267
Amelie_Mauresmo,ap_req,1,0.00132084
