person,noise_type,intensity,ok,similarity,extract_failed
Abdullah_Gul,gaussian,0.00000000,1,1.00000012,0
Abdullah_Gul,gaussian,0.02000000,1,0.99033523,0
Abdullah_Gul,gaussian,0.05000000,1,0.96160507,0
Abdullah_Gul,gaussian,0.10000000,1,0.92131424,0
Abdullah_Gul,gaussian,0.20000000,0,nan,1
Abdullah_Gul,gaussian,0.30000000,0,nan,1
Abdullah_Gul,brightness,1.00000000,1,1.00000012,0
Abdullah_Gul,brightness,0.90000000,1,0.99945265,0
Abdullah_Gul,brightness,0.80000000,1,0.99844551,0
Abdullah_Gul,brightness,0.65000000,1,0.99592400,0
Abdullah_Gul,brightness,0.50000000,1,0.99300104,0
Abdullah_Gul,brightness,0.35000000,1,0.98624802,0
Abdullah_Gul,rotation,0.00000000,1,1.00000012,0
Abdullah_Gul,rotation,3.00000000,1,0.99891621,0
Abdullah_Gul,rotation,6.00000000,1,0.99696416,0
Abdullah_Gul,rotation,10.00000000,1,0.99440348,0
Abdullah_Gul,rotation,15.00000000,1,0.99544907,0
Abdullah_Gul,rotation,20.00000000,1,0.99262524,0
Abdullah_Gul,blur,0.00000000,1,0.99696177,0
Abdullah_Gul,blur,1.00000000,1,0.99653542,0
Abdullah_Gul,blur,2.00000000,1,0.97437209,0
Abdullah_Gul,blur,3.00000000,1,0.91523182,0
Abdullah_Gul,blur,4.00000000,0,0.82638901,0
Abdullah_Gul,blur,5.00000000,1,0.73694479,0
Abdullah_Gul,occlusion,0.00000000,1,0.99940574,0
Abdullah_Gul,occlusion,0.10000000,0,0.46792048,0
Abdullah_Gul,occlusion,0.15000000,0,nan,1
Abdullah_Gul,occlusion,0.20000000,0,nan,1
Abdullah_Gul,occlusion,0.25000000,0,nan,1
Abdullah_Gul,occlusion,0.30000000,0,nan,1
Adrien_Brody,gaussian,0.00000000,1,0.99999994,0
Adrien_Brody,gaussian,0.02000000,1,0.98954111,0
Adrien_Brody,gaussian,0.05000000,1,0.96441680,0
Adrien_Brody,gaussian,0.10000000,1,0.88440323,0
Adrien_Brody,gaussian,0.20000000,0,nan,1
Adrien_Brody,gaussian,0.30000000,0,nan,1
