person,noise_type,intensity,ok,similarity,extract_failed,probe_path
Abdullah_Gul,gaussian,0.00000000,1,1.00000000,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,gaussian,0.02000000,1,0.98915470,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,gaussian,0.05000000,1,0.96019006,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,gaussian,0.10000000,1,0.90443861,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,gaussian,0.20000000,0,nan,1,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,gaussian,0.30000000,0,nan,1,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,brightness,1.00000000,1,1.00000000,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,brightness,0.90000000,1,0.99917197,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,brightness,0.80000000,1,0.99763846,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,brightness,0.65000000,1,0.99392158,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,brightness,0.50000000,1,0.98710394,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,brightness,0.35000000,1,0.97622395,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,rotation,0.00000000,1,1.00000000,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,rotation,3.00000000,1,0.99825507,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,rotation,6.00000000,1,0.99754703,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,rotation,10.00000000,1,0.99590051,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,rotation,15.00000000,1,0.99450749,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,rotation,20.00000000,1,0.99350834,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,blur,0.00000000,1,0.99751806,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,blur,1.00000000,1,0.99706274,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,blur,2.00000000,1,0.97668803,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,blur,3.00000000,1,0.88915408,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,blur,4.00000000,1,0.78142059,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,blur,5.00000000,0,0.67528903,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,occlusion,0.00000000,1,0.99824518,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,occlusion,0.10000000,0,0.00857615,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,occlusion,0.15000000,0,0.00998386,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,occlusion,0.20000000,0,0.00433088,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,occlusion,0.25000000,0,0.01281177,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Abdullah_Gul,occlusion,0.30000000,0,-0.00535924,0,Abdullah_Gul/Abdullah_Gul_0006.jpg
Adrien_Brody,gaussian,0.00000000,1,1.00000012,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,gaussian,0.02000000,1,0.98878706,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,gaussian,0.05000000,1,0.94514680,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,gaussian,0.10000000,1,0.87355435,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,gaussian,0.20000000,0,nan,1,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,gaussian,0.30000000,0,nan,1,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,brightness,1.00000000,1,1.00000012,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,brightness,0.90000000,1,0.99935913,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,brightness,0.80000000,1,0.99801582,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,brightness,0.65000000,1,0.99544388,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,brightness,0.50000000,1,0.99188328,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,brightness,0.35000000,1,0.98521638,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,rotation,0.00000000,1,1.00000012,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,rotation,3.00000000,1,0.99779046,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,rotation,6.00000000,1,0.99732059,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,rotation,10.00000000,1,0.99585855,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,rotation,15.00000000,1,0.99244952,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,rotation,20.00000000,1,0.99018908,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,blur,0.00000000,1,0.99359745,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,blur,1.00000000,1,0.99246812,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,blur,2.00000000,1,0.95742166,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,blur,3.00000000,1,0.90562010,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,blur,4.00000000,1,0.81779331,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,blur,5.00000000,0,0.68988675,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,occlusion,0.00000000,1,0.99910998,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,occlusion,0.10000000,0,0.38835055,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,occlusion,0.15000000,0,0.02022455,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,occlusion,0.20000000,0,0.02007145,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,occlusion,0.25000000,0,0.01987280,0,Adrien_Brody/Adrien_Brody_0006.jpg
Adrien_Brody,occlusion,0.30000000,0,0.02164492,0,Adrien_Brody/Adrien_Brody_0006.jpg
Al_Gore,gaussian,0.00000000,1,0.99999994,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,gaussian,0.02000000,1,0.98836452,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,gaussian,0.05000000,1,0.93874741,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,gaussian,0.10000000,1,0.86242002,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,gaussian,0.20000000,0,nan,1,Al_Gore/Al_Gore_0006.jpg
Al_Gore,gaussian,0.30000000,0,nan,1,Al_Gore/Al_Gore_0006.jpg
Al_Gore,brightness,1.00000000,1,0.99999994,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,brightness,0.90000000,1,0.99921286,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,brightness,0.80000000,1,0.99764687,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,brightness,0.65000000,1,0.99364448,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,brightness,0.50000000,1,0.98845887,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,brightness,0.35000000,1,0.98068738,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,rotation,0.00000000,1,0.99999994,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,rotation,3.00000000,1,0.99731731,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,rotation,6.00000000,1,0.99581867,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,rotation,10.00000000,1,0.99429363,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,rotation,15.00000000,1,0.99494225,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,rotation,20.00000000,1,0.99751097,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,blur,0.00000000,1,0.99553901,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,blur,1.00000000,1,0.99476463,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,blur,2.00000000,1,0.95948863,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,blur,3.00000000,0,0.85579503,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,blur,4.00000000,0,0.74973387,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,blur,5.00000000,0,0.64979446,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,occlusion,0.00000000,1,0.99810934,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,occlusion,0.10000000,0,0.40379703,0,Al_Gore/Al_Gore_0006.jpg
Al_Gore,occlusion,0.15000000,0,nan,1,Al_Gore/Al_Gore_0006.jpg
Al_Gore,occlusion,0.20000000,0,nan,1,Al_Gore/Al_Gore_0006.jpg
Al_Gore,occlusion,0.25000000,0,nan,1,Al_Gore/Al_Gore_0006.jpg
Al_Gore,occlusion,0.30000000,0,nan,1,Al_Gore/Al_Gore_0006.jpg
Al_Sharpton,gaussian,0.00000000,1,1.00000000,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,gaussian,0.02000000,1,0.98971009,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,gaussian,0.05000000,1,0.96596962,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,gaussian,0.10000000,1,0.89602607,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,gaussian,0.20000000,0,nan,1,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,gaussian,0.30000000,0,nan,1,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,brightness,1.00000000,1,1.00000000,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,brightness,0.90000000,1,0.99951625,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,brightness,0.80000000,1,0.99830472,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,brightness,0.65000000,1,0.99584931,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,brightness,0.50000000,1,0.99102807,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,brightness,0.35000000,1,0.98085964,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,rotation,0.00000000,1,1.00000000,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,rotation,3.00000000,1,0.99725658,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,rotation,6.00000000,1,0.99716079,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,rotation,10.00000000,1,0.99701643,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,rotation,15.00000000,1,0.99562979,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,rotation,20.00000000,1,0.98906678,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,blur,0.00000000,1,0.99348193,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,blur,1.00000000,1,0.99270952,0,Al_Sharpton/Al_Sharpton_0006.jpg
Al_Sharpton,blur,2.00000000,1,0.96631813,0,Al_Sharpton/Al_Sharpton_0006.jpg
