group,candidate_count,target_position,attempts_executed,attempts_blocked,target_identified,signature_issued,attack_time_ms,attempts_per_second
G0,10,0,10,0,1,0,0.12000000,83718.64000000
G1,10,0,1,0,1,1,5.44000000,183.69000000
G2,10,0,1,0,1,1,251.56000000,3.98000000
G3,10,0,1,0,1,1,253.81000000,3.94000000
G0,50,38,50,0,1,0,0.28000000,177424.03000000
G1,50,38,3,0,0,1,13.00000000,230.82000000
G2,50,38,3,0,0,1,258.45000000,11.61000000
G3,50,38,3,0,0,1,256.47000000,11.70000000
G0,100,70,100,0,1,0,0.42000000,237100.28000000
G1,100,70,6,0,0,1,24.75000000,242.41000000
G2,100,70,6,0,0,1,279.82000000,21.44000000
G3,100,70,4,1,0,0,160.21000000,24.97000000
