group,attack,candidate_count,target_position,setup_time_ms,attack_time_ms,attempts_executed,attempts_blocked,target_identified,false_accept,signature_issued,attempts_per_second
G0,candidate_scan,10,5,0.12000000,0.10000000,10,0,1,0,0,99391.09000000
G1,candidate_scan,10,5,2.66000000,27.77000000,6,0,1,0,1,216.06000000
G2,candidate_scan,10,5,169.66000000,145.85000000,6,0,1,0,1,41.14000000
G3,candidate_scan,10,5,165.99000000,17.15000000,4,1,0,0,0,233.30000000
G0,candidate_scan,50,33,0.08000000,0.29000000,50,0,1,0,0,173175.23000000
G1,candidate_scan,50,33,2.22000000,156.48000000,34,0,1,0,1,217.28000000
G2,candidate_scan,50,33,168.57000000,285.44000000,34,0,1,0,1,119.11000000
G3,candidate_scan,50,33,165.63000000,16.66000000,4,1,0,0,0,240.11000000
G0,candidate_scan,100,45,0.08000000,0.49000000,100,0,1,0,0,202037.76000000
G1,candidate_scan,100,45,2.04000000,211.73000000,46,0,1,0,1,217.26000000
G2,candidate_scan,100,45,167.61000000,351.47000000,46,0,1,0,1,130.88000000
G3,candidate_scan,100,45,175.35000000,16.80000000,4,1,0,0,0,238.15000000
G1,direct_sign_bypass,0,-1,0.00000000,0.00000000,0,0,0,0,1,0.00000000
