group,attack,victim,candidate_count,permutation,target_position,setup_time_ms,attack_time_ms,requests_sent,biometric_evaluations,blocked_requests,target_identified,false_accept,signature_issued,attempts_per_second
G0,candidate_scan,Abdullah_Gul,10,0,5,0.09000000,0.08000000,10,10,0,1,0,0,119837.26000000
G1,candidate_scan,Abdullah_Gul,10,0,5,2.37000000,23.48000000,6,6,0,1,0,1,255.52000000
G2,candidate_scan,Abdullah_Gul,10,0,5,142.96000000,126.03000000,6,6,0,1,0,1,47.61000000
G3,candidate_scan,Abdullah_Gul,10,0,5,145.24000000,14.76000000,4,3,1,0,0,0,271.07000000
G0,candidate_scan,Abdullah_Gul,10,1,2,0.07000000,0.08000000,10,10,0,1,0,0,128266.18000000
G1,candidate_scan,Abdullah_Gul,10,1,2,1.82000000,11.44000000,3,3,0,1,0,1,262.25000000
G2,candidate_scan,Abdullah_Gul,10,1,2,149.45000000,112.31000000,3,3,0,1,0,1,26.71000000
G3,candidate_scan,Abdullah_Gul,10,1,2,144.04000000,114.80000000,3,3,0,1,0,1,26.13000000
G0,candidate_scan,Abdullah_Gul,10,2,1,0.06000000,0.07000000,10,10,0,1,0,0,144631.17000000
G1,candidate_scan,Abdullah_Gul,10,2,1,1.74000000,7.39000000,2,2,0,1,0,1,270.64000000
G2,candidate_scan,Abdullah_Gul,10,2,1,149.31000000,110.83000000,2,2,0,1,0,1,18.05000000
G3,candidate_scan,Abdullah_Gul,10,2,1,142.52000000,113.09000000,2,2,0,1,0,1,17.68000000
G0,candidate_scan,Abdullah_Gul,10,3,3,0.06000000,0.07000000,10,10,0,1,0,0,149796.57000000
G1,candidate_scan,Abdullah_Gul,10,3,3,1.77000000,15.16000000,4,4,0,1,0,1,263.82000000
G2,candidate_scan,Abdullah_Gul,10,3,3,142.46000000,119.75000000,4,4,0,1,0,1,33.40000000
G3,candidate_scan,Abdullah_Gul,10,3,3,151.33000000,14.53000000,4,3,1,0,0,0,275.22000000
G0,candidate_scan,Abdullah_Gul,10,4,8,0.07000000,0.07000000,10,10,0,1,0,0,148208.62000000
G1,candidate_scan,Abdullah_Gul,10,4,8,1.78000000,35.82000000,9,9,0,1,0,1,251.26000000
G2,candidate_scan,Abdullah_Gul,10,4,8,147.91000000,136.38000000,9,9,0,1,0,1,65.99000000
G3,candidate_scan,Abdullah_Gul,10,4,8,144.28000000,14.14000000,4,3,1,0,0,0,282.83000000
G0,candidate_scan,Abdullah_Gul,50,0,33,0.07000000,0.23000000,50,50,0,1,0,0,218226.01000000
G1,candidate_scan,Abdullah_Gul,50,0,33,1.80000000,133.21000000,34,34,0,1,0,1,255.23000000
G2,candidate_scan,Abdullah_Gul,50,0,33,146.92000000,255.82000000,34,34,0,1,0,1,132.90000000
G3,candidate_scan,Abdullah_Gul,50,0,33,144.57000000,14.95000000,4,3,1,0,0,0,267.63000000
G0,candidate_scan,Abdullah_Gul,50,1,13,0.07000000,0.24000000,50,50,0,1,0,0,209505.69000000
G1,candidate_scan,Abdullah_Gul,50,1,13,1.93000000,58.30000000,14,14,0,1,0,1,240.15000000
G2,candidate_scan,Abdullah_Gul,50,1,13,153.95000000,161.85000000,14,14,0,1,0,1,86.50000000
G3,candidate_scan,Abdullah_Gul,50,1,13,147.04000000,14.76000000,4,3,1,0,0,0,270.97000000
G0,candidate_scan,Abdullah_Gul,50,2,17,0.07000000,0.23000000,50,50,0,1,0,0,218681.13000000
G1,candidate_scan,Abdullah_Gul,50,2,17,1.82000000,71.37000000,18,18,0,1,0,1,252.21000000
G2,candidate_scan,Abdullah_Gul,50,2,17,150.85000000,178.26000000,18,18,0,1,0,1,100.98000000
G3,candidate_scan,Abdullah_Gul,50,2,17,143.08000000,14.50000000,4,3,1,0,0,0,275.88000000
G0,candidate_scan,Abdullah_Gul,50,3,2,0.07000000,0.24000000,50,50,0,1,0,0,210346.24000000
G1,candidate_scan,Abdullah_Gul,50,3,2,1.80000000,11.57000000,3,3,0,1,0,1,259.18000000
