group,candidate_count,n_runs,target_identification_rate,false_accept_rate,blocked_run_rate,blocked_request_rate,signature_issuance_rate,mean_biometric_evaluations
G0,10,100,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.00000000
G0,50,100,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,50.00000000
G0,100,100,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,100.00000000
G1,10,100,0.90000000,0.00000000,0.00000000,0.00000000,0.90000000,5.80000000
G1,50,100,0.90000000,0.00000000,0.00000000,0.00000000,0.90000000,29.09000000
G1,100,100,0.90000000,0.00000000,0.00000000,0.00000000,0.90000000,54.94000000
G2,10,100,0.90000000,0.00000000,0.00000000,0.00000000,0.90000000,5.80000000
G2,50,100,0.90000000,0.00000000,0.00000000,0.00000000,0.90000000,29.09000000
G2,100,100,0.90000000,0.00000000,0.00000000,0.00000000,0.90000000,54.94000000
G3,10,100,0.32000000,0.00000000,0.68000000,0.19600000,0.32000000,2.79000000
G3,50,100,0.06000000,0.00000000,0.94000000,0.24230000,0.06000000,2.94000000
G3,100,100,0.01000000,0.00000000,0.99000000,0.24870000,0.01000000,2.99000000
