group,algo,op,seconds
hash,sm3,hash,0.00047885
hash,sm3,hash,0.00041590
hash,sm3,hash,0.00041000
hash,sm3,hash,0.00040372
hash,sm3,hash,0.00039691
hash,sm3,hash,0.00038197
hash,sm3,hash,0.00039049
hash,sm3,hash,0.00039019
hash,sm3,hash,0.00038511
hash,sm3,hash,0.00039041
hash,sm3,hash,0.00039785
hash,sm3,hash,0.00040198
hash,sm3,hash,0.00040812
hash,sm3,hash,0.00040705
hash,sm3,hash,0.00041319
hash,sm3,hash,0.00040696
hash,sm3,hash,0.00040454
hash,sm3,hash,0.00040551
hash,sm3,hash,0.00040902
hash,sm3,hash,0.00040588
hash,sm3,hash,0.00040207
hash,sm3,hash,0.00040330
hash,sm3,hash,0.00040914
hash,sm3,hash,0.00040850
hash,sm3,hash,0.00040575
hash,sm3,hash,0.00039867
hash,sm3,hash,0.00039980
hash,sm3,hash,0.00040967
hash,sm3,hash,0.00040756
hash,sm3,hash,0.00041010
hash,sm3,hash,0.00040957
hash,sm3,hash,0.00041120
hash,sm3,hash,0.00040959
hash,sm3,hash,0.00040786
hash,sm3,hash,0.00041080
hash,sm3,hash,0.00040477
hash,sm3,hash,0.00040469
hash,sm3,hash,0.00040429
hash,sm3,hash,0.00040539
hash,sm3,hash,0.00040498
hash,sm3,hash,0.00039979
hash,sm3,hash,0.00040211
hash,sm3,hash,0.00040730
hash,sm3,hash,0.00040756
hash,sm3,hash,0.00041049
hash,sm3,hash,0.00041067
hash,sm3,hash,0.00041226
hash,sm3,hash,0.00040408
hash,sm3,hash,0.00040233
hash,sm3,hash,0.00040386
hash,sm3,hash,0.00040236
hash,sm3,hash,0.00040284
hash,sm3,hash,0.00039475
hash,sm3,hash,0.00040272
hash,sm3,hash,0.00041098
hash,sm3,hash,0.00041067
hash,sm3,hash,0.00041171
hash,sm3,hash,0.00040609
hash,sm3,hash,0.00040963
hash,sm3,hash,0.00040925
hash,sm3,hash,0.00040785
hash,sm3,hash,0.00041004
hash,sm3,hash,0.00041029
hash,sm3,hash,0.00041312
hash,sm3,hash,0.00042294
hash,sm3,hash,0.00041811
hash,sm3,hash,0.00042097
hash,sm3,hash,0.00041320
hash,sm3,hash,0.00041946
hash,sm3,hash,0.00040921
hash,sm3,hash,0.00041063
hash,sm3,hash,0.00041664
hash,sm3,hash,0.00041661
hash,sm3,hash,0.00041835
hash,sm3,hash,0.00041671
hash,sm3,hash,0.00043153
hash,sm3,hash,0.00042366
hash,sm3,hash,0.00043082
hash,sm3,hash,0.00042671
hash,sm3,hash,0.00041115
hash,sm3,hash,0.00041004
hash,sm3,hash,0.00040236
hash,sm3,hash,0.00040081
hash,sm3,hash,0.00040799
hash,sm3,hash,0.00040375
hash,sm3,hash,0.00040728
hash,sm3,hash,0.00042407
hash,sm3,hash,0.00042633
hash,sm3,hash,0.00042338
hash,sm3,hash,0.00043050
hash,sm3,hash,0.00044769
hash,sm3,hash,0.00042053
hash,sm3,hash,0.00042571
hash,sm3,hash,0.00040275
hash,sm3,hash,0.00039981
hash,sm3,hash,0.00041017
hash,sm3,hash,0.00041085
hash,sm3,hash,0.00041598
hash,sm3,hash,0.00041567
hash,sm3,hash,0.00041934
hash,sm3,hash,0.00042279
hash,sm3,hash,0.00041812
hash,sm3,hash,0.00041345
hash,sm3,hash,0.00041997
hash,sm3,hash,0.00041860
hash,sm3,hash,0.00042636
hash,sm3,hash,0.00043290
hash,sm3,hash,0.00043072
hash,sm3,hash,0.00042911
hash,sm3,hash,0.00043555
hash,sm3,hash,0.00043287
hash,sm3,hash,0.00043707
hash,sm3,hash,0.00043155
hash,sm3,hash,0.00043484
hash,sm3,hash,0.00042539
hash,sm3,hash,0.00041964
hash,sm3,hash,0.00042248
hash,sm3,hash,0.00042126
hash,sm3,hash,0.00042555
hash,sm3,hash,0.00042353
hash,sm3,hash,0.00042141
hash,sm3,hash,0.00042229
hash,sm3,hash,0.00042163
hash,sm3,hash,0.00043517
hash,sm3,hash,0.00043665
hash,sm3,hash,0.00043622
hash,sm3,hash,0.00041503
hash,sm3,hash,0.00041248
hash,sm3,hash,0.00041398
hash,sm3,hash,0.00040782
hash,sm3,hash,0.00041057
hash,sm3,hash,0.00040738
hash,sm3,hash,0.00040761
hash,sm3,hash,0.00041157
hash,sm3,hash,0.00041237
hash,sm3,hash,0.00041033
hash,sm3,hash,0.00040313
hash,sm3,hash,0.00040363
hash,sm3,hash,0.00040179
hash,sm3,hash,0.00040085
hash,sm3,hash,0.00039939
hash,sm3,hash,0.00040004
hash,sm3,hash,0.00041258
hash,sm3,hash,0.00041651
hash,sm3,hash,0.00041932
hash,sm3,hash,0.00041749
hash,sm3,hash,0.00041331
hash,sm3,hash,0.00041924
hash,sm3,hash,0.00043314
hash,sm3,hash,0.00043270
hash,sm3,hash,0.00041398
hash,sm3,hash,0.00041899
hash,sm3,hash,0.00042029
hash,sm3,hash,0.00041909
hash,sm3,hash,0.00041970
hash,sm3,hash,0.00041793
hash,sm3,hash,0.00041717
hash,sm3,hash,0.00042484
hash,sm3,hash,0.00042072
hash,sm3,hash,0.00042322
hash,sm3,hash,0.00042556
hash,sm3,hash,0.00042640
hash,sm3,hash,0.00042356
hash,sm3,hash,0.00042340
hash,sm3,hash,0.00043220
hash,sm3,hash,0.00042714
hash,sm3,hash,0.00043806
hash,sm3,hash,0.00043113
hash,sm3,hash,0.00043402
hash,sm3,hash,0.00042288
hash,sm3,hash,0.00042306
hash,sm3,hash,0.00042433
hash,sm3,hash,0.00040520
hash,sm3,hash,0.00041328
hash,sm3,hash,0.00042053
hash,sm3,hash,0.00041895
hash,sm3,hash,0.00040892
hash,sm3,hash,0.00040998
hash,sm3,hash,0.00041365
hash,sm3,hash,0.00041217
hash,sm3,hash,0.00041607
hash,sm3,hash,0.00041131
hash,sm3,hash,0.00040199
hash,sm3,hash,0.00040980
hash,sm3,hash,0.00040438
hash,sm3,hash,0.00040480
hash,sm3,hash,0.00040540
hash,sm3,hash,0.00041353
hash,sm3,hash,0.00041216
hash,sm3,hash,0.00040404
hash,sm3,hash,0.00041686
hash,sm3,hash,0.00040977
hash,sm3,hash,0.00041802
hash,sm3,hash,0.00041076
hash,sm3,hash,0.00040619
hash,sm3,hash,0.00040924
hash,sm3,hash,0.00040810
hash,sm3,hash,0.00040375
hash,sm3,hash,0.00040751
hash,sm3,hash,0.00041716
hash,sha256,hash,0.00001141
hash,sha256,hash,0.00000182
hash,sha256,hash,0.00000068
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000052
hash,sha256,hash,0.00000049
hash,sha256,hash,0.00000052
hash,sha256,hash,0.00000047
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000046
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000056
hash,sha256,hash,0.00000048
hash,sha256,hash,0.00000047
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000044
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000044
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000046
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000044
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000042
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000045
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000043
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000041
hash,sha256,hash,0.00000044
