group,algo,op,n,mean_ms,median_ms,p95_ms
hash,sm3,hash,20,0.77149530,0.76969050,0.79709170
hash,sha256,hash,20,0.00146115,0.00081100,0.00267655
cipher,sm4_cbc,encrypt,20,0.79531875,0.60370650,1.11910895
cipher,sm4_cbc,decrypt,20,0.42827500,0.42607250,0.45234690
cipher,aes256_cbc,encrypt,20,0.00396565,0.00315200,0.00684985
cipher,aes256_cbc,decrypt,20,0.00279990,0.00248350,0.00488340
sign,sm9,sign,20,100.26902545,100.04428900,101.76420410
sign,sm9,verify,20,161.48719365,161.29253500,164.08279280
sign,rsa2048,sign,20,0.41424425,0.40917600,0.43197330
sign,rsa2048,verify,20,0.01899570,0.01836250,0.02176420
sign,ecdsa_p256,sign,20,0.01882840,0.01853900,0.02090865
sign,ecdsa_p256,verify,20,0.05247125,0.05087050,0.05853520
sign,sm2,sign,20,8.69946245,8.70156100,8.87841880
sign,sm2,verify,20,16.83324455,16.82910250,16.93618470
key_exchange,sm9,initiator,20,17.03794595,15.99943650,17.69251195
key_exchange,ecdh_p256,exchange,20,0.05139790,0.04783550,0.05822470
#meta {"n_iter": 200, "msg_bytes": 124, "cpu": "host-cpu", "impl": "gmalg-1.1.2 / cryptography-50"}
