attack_type,scheme,attempts,blocked,block_rate
tampered,ours,20,20,1.00000000
tampered,oauth,20,0,0.00000000
tampered,noauth,20,0,0.00000000
priv_esc,ours,20,20,1.00000000
priv_esc,oauth,20,0,0.00000000
priv_esc,noauth,20,0,0.00000000
replay,ours,20,20,1.00000000
replay,oauth,20,0,0.00000000
replay,noauth,20,0,0.00000000
forged_st,ours,20,20,1.00000000
forged_st,oauth,20,0,0.00000000
forged_st,noauth,20,0,0.00000000
did_spoof,ours,20,20,1.00000000
did_spoof,oauth,20,0,0.00000000
did_spoof,noauth,20,0,0.00000000
confusion,ours,20,20,1.00000000
confusion,oauth,20,0,0.00000000
confusion,noauth,20,0,0.00000000
unregistered_agent,ours,20,20,1.00000000
unregistered_agent,oauth,20,0,0.00000000
unregistered_agent,noauth,20,0,0.00000000
invalid_parent_session,ours,20,20,1.00000000
invalid_parent_session,oauth,20,0,0.00000000
invalid_parent_session,noauth,20,0,0.00000000
dual_st_mix,ours,20,20,1.00000000
dual_st_mix,oauth,20,0,0.00000000
dual_st_mix,noauth,20,0,0.00000000
user_agent_mismatch,ours,20,20,1.00000000
user_agent_mismatch,oauth,20,0,0.00000000
user_agent_mismatch,noauth,20,0,0.00000000
#meta {"seed": 20260817, "mode": "formal", "n_cmds": 500, "n_attack": 20, "ratios": {"normal": 0.6, "tampered": 0.16, "priv_esc": 0.16, "replay": 0.08}}
