case_type,result,verify_authorize_ms,verify_st_ms,challenge_ms,total_ms
legal,pass,159.17420387,159.03329849,158.78152847,675.17823000
legal,pass,159.89112854,159.72042084,159.46602821,676.25083700
legal,pass,159.31677818,161.29493713,161.37003899,681.26296700
legal,pass,159.86156464,160.69555283,160.32218933,677.50497500
legal,pass,161.37909889,163.79237175,161.30590439,684.84330800
legal,pass,161.29660606,159.43145752,158.02764893,675.49301500
legal,pass,158.82968903,157.90343285,159.48867798,672.46693000
legal,pass,158.56623650,159.78980064,158.92362595,671.98104500
legal,pass,159.82151031,159.60431099,159.55162048,675.23721899
legal,pass,161.96560860,159.10458565,162.91379929,683.70767900
legal,pass,160.02130508,159.61956978,160.79187393,675.95846600
legal,pass,159.98554230,159.58905220,157.85384178,674.45222000
legal,pass,158.60486031,160.89510918,160.39443016,679.30778600
legal,pass,160.36391258,161.61322594,160.80665588,679.55136600
legal,pass,160.64929962,158.72144699,162.92142868,678.82556700
legal,pass,160.01152992,162.46652603,160.35389900,682.28814600
legal,pass,159.17778015,160.90726852,160.23254395,676.25039299
legal,pass,159.76023674,161.03625298,160.51745415,680.96936100
legal,pass,160.77375412,158.86092186,160.05110741,676.61000200
legal,pass,160.36081314,158.18357468,157.47809410,673.69572100
legal,pass,160.81714630,159.96932983,157.46974945,672.75722200
legal,pass,158.06841850,159.63578224,158.33544731,673.25435300
legal,pass,157.12952614,158.65445137,158.05792809,668.67782900
legal,pass,158.59127045,159.87038612,161.65328026,674.88821200
legal,pass,156.67104721,158.53118896,158.70118141,672.62390901
legal,pass,156.00967407,158.06961060,158.18905830,668.14360500
legal,pass,158.14304352,158.92696381,161.33832932,674.69618900
legal,pass,158.73026848,160.51673889,159.11889076,674.97237500
legal,pass,160.21800041,162.12177277,161.17119789,681.17284500
legal,pass,162.38474846,160.45141220,158.66827965,677.59831500
legal,pass,158.06579590,159.03568268,157.34744072,669.17642500
legal,pass,158.96701813,159.59930420,158.54430199,672.54475300
legal,pass,159.37304497,159.24334526,159.82699394,674.23294100
legal,pass,161.22031212,160.82215309,161.54980659,680.56603300
legal,pass,163.19298744,158.73146057,161.39888763,681.56389900
legal,pass,160.36772728,158.41722488,159.40499306,675.31423301
legal,pass,159.69800949,160.31718254,160.45451164,677.39960200
legal,pass,160.66479683,160.60233116,157.90557861,672.72482900
legal,pass,157.58371353,157.93037415,157.92489052,668.26008700
legal,pass,160.52055359,160.28070450,158.39171410,675.14773300
legal,pass,159.63363647,160.25924683,160.18867493,677.70349600
legal,pass,160.17174721,160.80093384,159.63244438,677.13866700
legal,pass,159.80315208,160.54534912,161.98897362,681.04700800
legal,pass,162.88566589,165.41123390,165.12155533,697.39309600
legal,pass,164.57247734,163.74206543,158.11705589,683.44805200
legal,pass,158.57076645,159.11531448,157.35197067,670.20846800
legal,pass,158.59460831,159.16848183,158.50758553,671.51026501
legal,pass,156.68535233,159.07669067,158.83398056,668.66473400
legal,pass,158.33353996,160.21609306,159.21092033,675.98168400
legal,pass,161.02862358,158.25986862,160.88509560,678.99494600
legal,pass,158.23149681,159.94071960,158.76650810,672.43744700
legal,pass,159.54828262,160.69936752,160.15601158,676.80666599
legal,pass,161.57913208,161.45825386,159.54065323,680.48571600
legal,pass,160.18462181,159.72638130,162.70709038,681.62545199
legal,pass,159.13724899,160.64071655,157.80949593,673.07509500
legal,pass,159.84320641,158.35666656,159.64245796,672.92324600
legal,pass,161.07106209,161.29922867,160.14456749,680.26583500
legal,pass,160.59255600,161.21888161,160.37344933,682.00969000
legal,pass,160.99309921,160.25996208,160.26926041,679.36140000
legal,pass,159.71636772,162.87660599,159.76381302,682.46153700
legal,pass,160.05802155,161.26275063,159.28530693,676.55636300
legal,pass,158.16760063,160.05420685,159.52849388,675.18503600
legal,pass,160.65526009,162.74666786,164.12520409,687.11541700
legal,pass,164.16597366,163.03896904,161.20791435,687.45687300
legal,pass,157.57226944,158.04004669,158.26869011,669.30088000
legal,pass,158.25390816,159.86442566,158.63823891,671.98708200
legal,pass,158.39147568,158.80393982,156.88920021,670.73492300
legal,pass,157.35507011,158.59532356,157.84144402,668.55906500
legal,pass,160.08448601,158.30397606,160.72487831,674.89554100
legal,pass,158.61964226,161.18741035,158.64801407,675.44202800
legal,pass,160.20178795,160.95089912,159.89089012,676.84879999
legal,pass,160.05682945,159.08408165,157.96470642,671.90181400
legal,pass,158.95700455,160.55536270,159.60884094,676.22899701
legal,pass,161.63825989,161.96465492,159.72805023,680.45696300
legal,pass,158.58387947,159.98625755,157.27734566,672.94530199
legal,pass,161.75413132,162.90998459,161.54623032,685.52314500
legal,pass,158.60700607,160.82215309,158.65683556,674.40617800
legal,pass,161.20696068,160.48192978,160.77709198,679.61251000
legal,pass,160.87818146,161.45920753,161.05008125,680.83212400
legal,pass,162.10675240,161.86523438,162.99653053,686.10149599
legal,pass,163.74993324,163.18964958,164.71385956,694.56671600
legal,pass,162.50562668,161.71741486,161.09609604,683.51975300
legal,pass,158.36524963,158.27202797,158.61701965,671.17620900
legal,pass,158.45608711,159.40618515,158.88118744,672.29116600
legal,pass,159.13987160,160.44807434,159.62314606,676.36036000
legal,pass,162.50658035,160.08949280,158.34236145,677.22371000
legal,pass,159.56759453,160.46142578,162.19592094,683.19139000
legal,pass,164.26420212,165.91548920,165.23313522,699.78422500
legal,pass,161.43918037,160.44759750,159.46698189,677.58365800
legal,pass,157.08565712,159.06572342,158.45894814,668.95016700
legal,pass,157.38773346,158.95438194,156.94594383,668.25282600
legal,pass,158.50520134,158.92720222,159.59501266,673.39542500
legal,pass,159.75785255,160.05635262,159.50822830,676.98525800
legal,pass,161.05103493,162.99319267,159.60240364,683.42570101
legal,pass,161.06438637,162.53972054,162.62578964,683.81801300
legal,pass,160.61687469,159.63506699,163.06924820,682.59131100
legal,pass,160.34603119,161.00931168,160.71391106,680.62399401
legal,pass,161.35692596,164.61038589,159.89017487,686.27469200
legal,pass,161.88502312,159.49726105,163.94114494,684.09480200
legal,pass,157.37986565,158.12087059,157.49621391,668.89320000
expired,block,0.00000000,0.00000000,0.00000000,157.92956700
expired,block,0.00000000,0.00000000,0.00000000,159.03258400
expired,block,0.00000000,0.00000000,0.00000000,158.66769100
expired,block,0.00000000,0.00000000,0.00000000,157.69486700
expired,block,0.00000000,0.00000000,0.00000000,159.04064700
expired,block,0.00000000,0.00000000,0.00000000,161.24523401
expired,block,0.00000000,0.00000000,0.00000000,159.29395000
expired,block,0.00000000,0.00000000,0.00000000,159.66608600
expired,block,0.00000000,0.00000000,0.00000000,160.68666300
expired,block,0.00000000,0.00000000,0.00000000,159.05820500
expired,block,0.00000000,0.00000000,0.00000000,157.52903400
expired,block,0.00000000,0.00000000,0.00000000,160.17047199
expired,block,0.00000000,0.00000000,0.00000000,161.47411700
expired,block,0.00000000,0.00000000,0.00000000,161.32422300
expired,block,0.00000000,0.00000000,0.00000000,163.39820000
expired,block,0.00000000,0.00000000,0.00000000,160.45111900
expired,block,0.00000000,0.00000000,0.00000000,163.30034100
expired,block,0.00000000,0.00000000,0.00000000,160.76433400
expired,block,0.00000000,0.00000000,0.00000000,161.17953100
expired,block,0.00000000,0.00000000,0.00000000,161.89587400
expired,block,0.00000000,0.00000000,0.00000000,163.72401601
expired,block,0.00000000,0.00000000,0.00000000,164.02845600
expired,block,0.00000000,0.00000000,0.00000000,165.91398300
expired,block,0.00000000,0.00000000,0.00000000,159.25590700
expired,block,0.00000000,0.00000000,0.00000000,158.81673700
expired,block,0.00000000,0.00000000,0.00000000,158.91933600
expired,block,0.00000000,0.00000000,0.00000000,159.69800300
expired,block,0.00000000,0.00000000,0.00000000,159.14825400
expired,block,0.00000000,0.00000000,0.00000000,159.04982900
expired,block,0.00000000,0.00000000,0.00000000,159.08526400
expired,block,0.00000000,0.00000000,0.00000000,158.96109700
expired,block,0.00000000,0.00000000,0.00000000,159.05549100
expired,block,0.00000000,0.00000000,0.00000000,157.57823600
expired,block,0.00000000,0.00000000,0.00000000,160.35453101
expired,block,0.00000000,0.00000000,0.00000000,158.84161201
expired,block,0.00000000,0.00000000,0.00000000,159.35804200
expired,block,0.00000000,0.00000000,0.00000000,158.89930900
expired,block,0.00000000,0.00000000,0.00000000,158.49067900
expired,block,0.00000000,0.00000000,0.00000000,160.40508800
expired,block,0.00000000,0.00000000,0.00000000,159.15129300
expired,block,0.00000000,0.00000000,0.00000000,159.83528300
expired,block,0.00000000,0.00000000,0.00000000,161.73534300
expired,block,0.00000000,0.00000000,0.00000000,162.59162300
expired,block,0.00000000,0.00000000,0.00000000,157.73537700
expired,block,0.00000000,0.00000000,0.00000000,157.71239000
expired,block,0.00000000,0.00000000,0.00000000,160.60289599
expired,block,0.00000000,0.00000000,0.00000000,162.57702700
expired,block,0.00000000,0.00000000,0.00000000,161.53130200
expired,block,0.00000000,0.00000000,0.00000000,158.61987200
expired,block,0.00000000,0.00000000,0.00000000,157.46108100
expired,block,0.00000000,0.00000000,0.00000000,158.29702700
expired,block,0.00000000,0.00000000,0.00000000,158.98465000
expired,block,0.00000000,0.00000000,0.00000000,157.43236600
expired,block,0.00000000,0.00000000,0.00000000,158.18710301
expired,block,0.00000000,0.00000000,0.00000000,157.46074499
expired,block,0.00000000,0.00000000,0.00000000,158.12390500
expired,block,0.00000000,0.00000000,0.00000000,158.90531200
expired,block,0.00000000,0.00000000,0.00000000,157.12144300
expired,block,0.00000000,0.00000000,0.00000000,158.36200500
expired,block,0.00000000,0.00000000,0.00000000,158.55129800
expired,block,0.00000000,0.00000000,0.00000000,160.00267601
expired,block,0.00000000,0.00000000,0.00000000,159.78548700
expired,block,0.00000000,0.00000000,0.00000000,159.70018400
expired,block,0.00000000,0.00000000,0.00000000,163.50310601
expired,block,0.00000000,0.00000000,0.00000000,163.23144000
expired,block,0.00000000,0.00000000,0.00000000,164.30113900
expired,block,0.00000000,0.00000000,0.00000000,161.56781200
expired,block,0.00000000,0.00000000,0.00000000,157.04195500
expired,block,0.00000000,0.00000000,0.00000000,158.08021600
expired,block,0.00000000,0.00000000,0.00000000,158.57612000
expired,block,0.00000000,0.00000000,0.00000000,158.91298700
expired,block,0.00000000,0.00000000,0.00000000,158.93602500
expired,block,0.00000000,0.00000000,0.00000000,159.20603100
expired,block,0.00000000,0.00000000,0.00000000,158.87762600
expired,block,0.00000000,0.00000000,0.00000000,158.96996000
expired,block,0.00000000,0.00000000,0.00000000,159.52716900
expired,block,0.00000000,0.00000000,0.00000000,158.46743300
expired,block,0.00000000,0.00000000,0.00000000,159.75055900
expired,block,0.00000000,0.00000000,0.00000000,161.56259200
expired,block,0.00000000,0.00000000,0.00000000,161.65173300
expired,block,0.00000000,0.00000000,0.00000000,163.48902600
expired,block,0.00000000,0.00000000,0.00000000,162.79626100
expired,block,0.00000000,0.00000000,0.00000000,165.10343900
expired,block,0.00000000,0.00000000,0.00000000,161.35419100
expired,block,0.00000000,0.00000000,0.00000000,160.11677200
expired,block,0.00000000,0.00000000,0.00000000,158.97417100
expired,block,0.00000000,0.00000000,0.00000000,161.64744200
expired,block,0.00000000,0.00000000,0.00000000,160.05700000
expired,block,0.00000000,0.00000000,0.00000000,161.34029600
expired,block,0.00000000,0.00000000,0.00000000,161.33347700
expired,block,0.00000000,0.00000000,0.00000000,163.23486000
expired,block,0.00000000,0.00000000,0.00000000,163.02165600
expired,block,0.00000000,0.00000000,0.00000000,161.44778200
expired,block,0.00000000,0.00000000,0.00000000,162.03721700
expired,block,0.00000000,0.00000000,0.00000000,164.16750000
expired,block,0.00000000,0.00000000,0.00000000,162.43592000
expired,block,0.00000000,0.00000000,0.00000000,157.62996300
expired,block,0.00000000,0.00000000,0.00000000,159.50883101
expired,block,0.00000000,0.00000000,0.00000000,160.79131301
expired,block,0.00000000,0.00000000,0.00000000,160.95162000
replay,block,0.00000000,0.00000000,0.00000000,319.18622500
replay,block,0.00000000,0.00000000,0.00000000,315.72143100
replay,block,0.00000000,0.00000000,0.00000000,316.73228400
replay,block,0.00000000,0.00000000,0.00000000,320.32456100
replay,block,0.00000000,0.00000000,0.00000000,319.61017700
replay,block,0.00000000,0.00000000,0.00000000,318.19007100
replay,block,0.00000000,0.00000000,0.00000000,315.92428300
replay,block,0.00000000,0.00000000,0.00000000,316.26867100
replay,block,0.00000000,0.00000000,0.00000000,315.64327500
replay,block,0.00000000,0.00000000,0.00000000,314.62898700
replay,block,0.00000000,0.00000000,0.00000000,316.15072900
replay,block,0.00000000,0.00000000,0.00000000,316.20945300
replay,block,0.00000000,0.00000000,0.00000000,317.34758500
replay,block,0.00000000,0.00000000,0.00000000,317.09173000
replay,block,0.00000000,0.00000000,0.00000000,317.21898900
replay,block,0.00000000,0.00000000,0.00000000,317.22234500
replay,block,0.00000000,0.00000000,0.00000000,317.62064800
replay,block,0.00000000,0.00000000,0.00000000,316.72927100
replay,block,0.00000000,0.00000000,0.00000000,318.04907600
replay,block,0.00000000,0.00000000,0.00000000,316.46854999
replay,block,0.00000000,0.00000000,0.00000000,319.98062300
replay,block,0.00000000,0.00000000,0.00000000,319.66402800
replay,block,0.00000000,0.00000000,0.00000000,321.72727701
replay,block,0.00000000,0.00000000,0.00000000,324.29438100
replay,block,0.00000000,0.00000000,0.00000000,325.96407700
replay,block,0.00000000,0.00000000,0.00000000,325.08110200
replay,block,0.00000000,0.00000000,0.00000000,324.82583600
replay,block,0.00000000,0.00000000,0.00000000,324.67088300
replay,block,0.00000000,0.00000000,0.00000000,324.38675500
replay,block,0.00000000,0.00000000,0.00000000,326.12415100
replay,block,0.00000000,0.00000000,0.00000000,325.53618900
replay,block,0.00000000,0.00000000,0.00000000,329.98293600
replay,block,0.00000000,0.00000000,0.00000000,329.11698500
replay,block,0.00000000,0.00000000,0.00000000,331.69028900
replay,block,0.00000000,0.00000000,0.00000000,330.58576000
replay,block,0.00000000,0.00000000,0.00000000,332.88819700
replay,block,0.00000000,0.00000000,0.00000000,330.33507200
replay,block,0.00000000,0.00000000,0.00000000,329.07901700
replay,block,0.00000000,0.00000000,0.00000000,327.03037500
replay,block,0.00000000,0.00000000,0.00000000,321.54961200
replay,block,0.00000000,0.00000000,0.00000000,317.54249401
replay,block,0.00000000,0.00000000,0.00000000,318.20303100
replay,block,0.00000000,0.00000000,0.00000000,318.28342100
replay,block,0.00000000,0.00000000,0.00000000,317.25440300
replay,block,0.00000000,0.00000000,0.00000000,317.69702700
replay,block,0.00000000,0.00000000,0.00000000,317.54911700
replay,block,0.00000000,0.00000000,0.00000000,317.46084000
replay,block,0.00000000,0.00000000,0.00000000,316.67012400
replay,block,0.00000000,0.00000000,0.00000000,317.09312400
replay,block,0.00000000,0.00000000,0.00000000,317.99491200
replay,block,0.00000000,0.00000000,0.00000000,317.58748900
replay,block,0.00000000,0.00000000,0.00000000,318.95417700
replay,block,0.00000000,0.00000000,0.00000000,320.26559600
replay,block,0.00000000,0.00000000,0.00000000,322.44076800
replay,block,0.00000000,0.00000000,0.00000000,323.57232300
replay,block,0.00000000,0.00000000,0.00000000,321.51409599
replay,block,0.00000000,0.00000000,0.00000000,321.24716400
replay,block,0.00000000,0.00000000,0.00000000,317.61184000
replay,block,0.00000000,0.00000000,0.00000000,322.20859900
replay,block,0.00000000,0.00000000,0.00000000,323.30656400
replay,block,0.00000000,0.00000000,0.00000000,319.79716300
replay,block,0.00000000,0.00000000,0.00000000,324.27054700
replay,block,0.00000000,0.00000000,0.00000000,324.46186500
replay,block,0.00000000,0.00000000,0.00000000,317.83834500
replay,block,0.00000000,0.00000000,0.00000000,317.94748300
replay,block,0.00000000,0.00000000,0.00000000,318.40598500
replay,block,0.00000000,0.00000000,0.00000000,317.90478200
replay,block,0.00000000,0.00000000,0.00000000,317.33398600
replay,block,0.00000000,0.00000000,0.00000000,314.72975600
replay,block,0.00000000,0.00000000,0.00000000,316.26321001
replay,block,0.00000000,0.00000000,0.00000000,320.72073000
replay,block,0.00000000,0.00000000,0.00000000,321.08643400
replay,block,0.00000000,0.00000000,0.00000000,319.29294700
replay,block,0.00000000,0.00000000,0.00000000,316.77058200
replay,block,0.00000000,0.00000000,0.00000000,316.16832200
replay,block,0.00000000,0.00000000,0.00000000,316.08957300
replay,block,0.00000000,0.00000000,0.00000000,319.30428500
replay,block,0.00000000,0.00000000,0.00000000,319.26385700
replay,block,0.00000000,0.00000000,0.00000000,322.22600500
replay,block,0.00000000,0.00000000,0.00000000,326.33694101
replay,block,0.00000000,0.00000000,0.00000000,328.42520000
replay,block,0.00000000,0.00000000,0.00000000,324.44818000
replay,block,0.00000000,0.00000000,0.00000000,318.13477600
replay,block,0.00000000,0.00000000,0.00000000,323.89097000
replay,block,0.00000000,0.00000000,0.00000000,317.69706100
replay,block,0.00000000,0.00000000,0.00000000,314.95183099
replay,block,0.00000000,0.00000000,0.00000000,314.41369600
replay,block,0.00000000,0.00000000,0.00000000,315.00294600
replay,block,0.00000000,0.00000000,0.00000000,315.88076800
replay,block,0.00000000,0.00000000,0.00000000,315.92663700
replay,block,0.00000000,0.00000000,0.00000000,315.23343999
replay,block,0.00000000,0.00000000,0.00000000,314.89146700
replay,block,0.00000000,0.00000000,0.00000000,315.03296700
