case_type,result,verify_authorize_ms,verify_st_ms,challenge_ms,total_ms,reject_stage,error,expected_error
legal,pass,319.68021393,307.35874176,313.25984001,1323.00518400,,,
legal,pass,302.88934708,301.77307129,361.97614670,1357.88156300,,,
legal,pass,285.85243225,298.05755615,316.23768806,1274.31247900,,,
legal,pass,307.62171745,300.89688301,323.29797745,1326.15943500,,,
legal,pass,302.29544640,316.58864021,309.31162834,1325.19025400,,,
legal,pass,306.94103241,295.47524452,326.53689384,1317.08188500,,,
legal,pass,275.66337585,303.67517471,330.60455322,1317.02165800,,,
legal,pass,1422.65534401,1461.80152893,1582.93890953,5690.99240000,,,
legal,pass,296.96869850,294.15631294,304.85868454,1280.34676900,,,
legal,pass,360.41212082,441.28751755,331.55155182,1508.09632700,,,
expired,block,0.00000000,0.00000000,0.00000000,288.62480400,,,
expired,block,0.00000000,0.00000000,0.00000000,316.74403500,,,
expired,block,0.00000000,0.00000000,0.00000000,281.91035800,,,
expired,block,0.00000000,0.00000000,0.00000000,381.58121800,,,
expired,block,0.00000000,0.00000000,0.00000000,1417.46418800,,,
expired,block,0.00000000,0.00000000,0.00000000,1455.67152400,,,
expired,block,0.00000000,0.00000000,0.00000000,1482.89093100,,,
expired,block,0.00000000,0.00000000,0.00000000,926.37298900,,,
expired,block,0.00000000,0.00000000,0.00000000,1463.45303500,,,
expired,block,0.00000000,0.00000000,0.00000000,1574.61682800,,,
replay,block,0.00000000,1090.64984322,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,1614.81881142,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,1474.43294525,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,1457.51643181,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,1144.76490021,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,514.63770866,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,329.70499992,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,309.82089043,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,324.62358475,0.00000000,0.00000000,st,replay_detected,replay_detected
replay,block,0.00000000,407.73725510,0.00000000,0.00000000,st,replay_detected,replay_detected
forged_auth,block,0.00000000,0.00000000,0.00000000,2017.29338200,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,1931.30805300,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,588.37761900,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,625.85250700,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,838.57901400,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,744.56779300,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,662.12911900,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,724.40582900,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,850.84893900,,,
forged_auth,block,0.00000000,0.00000000,0.00000000,680.09118200,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,931.66634000,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,1116.38338000,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,962.84330300,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,947.35057500,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,1053.89663000,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,3161.08055700,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,2329.38069600,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,1936.68620900,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,1431.43898100,,,
tampered_st,block,0.00000000,0.00000000,0.00000000,1397.38835000,,,
did_spoofing,block,317.93355942,328.50551605,0,1795.88954200,,,
did_spoofing,block,1547.43576050,1956.04562759,0,2370.28739800,,,
did_spoofing,block,1187.85333633,981.62221909,0,596.96355600,,,
did_spoofing,block,301.42712593,308.24375153,0,602.90369800,,,
did_spoofing,block,295.56179047,293.50996017,0,590.23332700,,,
did_spoofing,block,299.86763000,290.56644440,0,605.85035500,,,
did_spoofing,block,289.70122337,293.34211349,0,617.92598900,,,
did_spoofing,block,295.33195496,313.04097176,0,627.14432300,,,
did_spoofing,block,298.43068123,302.08301544,0,589.49417900,,,
did_spoofing,block,306.31041527,294.47627068,0,630.66778500,,,
unbound,block,0.00000000,0.00000000,0.00000000,627.73558600,,,
unbound,block,0.00000000,0.00000000,0.00000000,604.46279100,,,
unbound,block,0.00000000,0.00000000,0.00000000,638.48665500,,,
unbound,block,0.00000000,0.00000000,0.00000000,608.43110400,,,
unbound,block,0.00000000,0.00000000,0.00000000,632.98610400,,,
unbound,block,0.00000000,0.00000000,0.00000000,642.96523800,,,
unbound,block,0.00000000,0.00000000,0.00000000,620.66899000,,,
unbound,block,0.00000000,0.00000000,0.00000000,690.44941000,,,
unbound,block,0.00000000,0.00000000,0.00000000,639.49396500,,,
unbound,block,0.00000000,0.00000000,0.00000000,622.02664800,,,
#meta {"seed": 20260817, "n_per_case": 100, "n_replay": 1000}
