group,attack_type,attempts,blocked,block_rate,reject_stage,error
G0,expired_user_auth_context,5,0,0.00000000,,
G0,tampered_user_auth_context,5,0,0.00000000,,
G0,unbound_device,5,0,0.00000000,,
G0,user_device_mismatch,5,0,0.00000000,,
G0,auth_st_device_mix_match,5,0,0.00000000,,
G0,service_mismatch,5,0,0.00000000,,
G0,netperm_escalation,5,0,0.00000000,,
G0,caddr_mismatch,5,0,0.00000000,,
G0,forged_auth,5,0,0.00000000,,
G0,forged_st,5,0,0.00000000,,
G0,tampered_st,5,0,0.00000000,,
G0,st_replay,5,0,0.00000000,,
G0,did_spoofing,5,0,0.00000000,,
G0,finish_request_tamper,5,0,0.00000000,,
G0,challenge_replay,5,0,0.00000000,,
G0,psk_mismatch,5,5,1.00000000,psk,psk_mismatch
G1,expired_user_auth_context,5,0,0.00000000,,
G1,tampered_user_auth_context,5,0,0.00000000,,
G1,unbound_device,5,0,0.00000000,,
G1,user_device_mismatch,5,0,0.00000000,,
G1,auth_st_device_mix_match,5,0,0.00000000,,
G1,service_mismatch,5,5,1.00000000,st,service_mismatch
G1,netperm_escalation,5,0,0.00000000,,
G1,caddr_mismatch,5,0,0.00000000,,
G1,forged_auth,5,0,0.00000000,,
G1,forged_st,5,5,1.00000000,st,signature_invalid
G1,tampered_st,5,5,1.00000000,st,signature_invalid
G1,st_replay,5,0,0.00000000,,
G1,did_spoofing,5,0,0.00000000,,
G1,finish_request_tamper,5,0,0.00000000,,
G1,challenge_replay,5,0,0.00000000,,
G1,psk_mismatch,5,0,0.00000000,,
G2,expired_user_auth_context,5,0,0.00000000,,
G2,tampered_user_auth_context,5,0,0.00000000,,
G2,unbound_device,5,0,0.00000000,,
G2,user_device_mismatch,5,0,0.00000000,,
G2,auth_st_device_mix_match,5,0,0.00000000,,
G2,service_mismatch,5,5,1.00000000,st,service_mismatch
G2,netperm_escalation,5,0,0.00000000,,
G2,caddr_mismatch,5,0,0.00000000,,
G2,forged_auth,5,0,0.00000000,,
G2,forged_st,5,5,1.00000000,st,signature_invalid
G2,tampered_st,5,5,1.00000000,st,signature_invalid
G2,st_replay,5,0,0.00000000,,
G2,did_spoofing,5,0,0.00000000,,
G2,finish_request_tamper,5,0,0.00000000,,
G2,challenge_replay,5,0,0.00000000,,
G2,psk_mismatch,5,0,0.00000000,,
G3,expired_user_auth_context,5,5,1.00000000,binding,binding_rejected
G3,tampered_user_auth_context,5,5,1.00000000,binding,binding_rejected
G3,unbound_device,5,5,1.00000000,binding,binding_rejected
G3,user_device_mismatch,5,5,1.00000000,binding,user_device_mismatch
G3,auth_st_device_mix_match,5,5,1.00000000,binding,device_mismatch
G3,service_mismatch,5,5,1.00000000,st,service_mismatch
G3,netperm_escalation,5,5,1.00000000,binding,netperm_escalation
G3,caddr_mismatch,5,5,1.00000000,binding,caddr_mismatch
G3,forged_auth,5,5,1.00000000,authorize,auth_invalid
G3,forged_st,5,5,1.00000000,st,signature_invalid
G3,tampered_st,5,5,1.00000000,st,signature_invalid
G3,st_replay,5,5,1.00000000,st,replay_detected
G3,did_spoofing,5,5,1.00000000,challenge,challenge_failed
G3,finish_request_tamper,5,5,1.00000000,challenge,challenge_failed
G3,challenge_replay,5,5,1.00000000,challenge,challenge_replay
G3,psk_mismatch,5,0,0.00000000,,
#meta {"seed": 20260817, "mode": "quick", "n_runs": 5, "n_attack": 5}
