flow_type,scheme,duration_s,throughput_mbps,jitter_ms,pkt_len_entropy,pkt_len_kl,gap_entropy,redundancy_rate,p50_ms,p90_ms,n_frames
period,sm9_raw,30,0.00409600,1.84398e-13,-0.00000000,0.00000000,0.00000000,0.00000000,512.00000000,512.00000000,30
period,sm9_shaped,30,0.00409600,0.00000000,3.04774268,35.48662322,0.00000000,0.98430990,988.00000000,1381.70000000,30
period,tls_baseline,30,0.00409600,1.56979679,-0.00000000,0.00000000,3.74540643,0.00000000,533.00000000,533.00000000,30
burst,sm9_raw,30,0.20851200,354.84419396,-0.00000000,0.00000000,0.37182578,0.00000000,1448.00000000,1448.00000000,540
burst,sm9_shaped,30,0.20851200,354.84419396,-0.00000000,0.00000000,0.37182578,0.00000000,1448.00000000,1448.00000000,540
burst,tls_baseline,30,0.20851200,355.31284799,-0.00000000,39.86313714,0.36883944,0.00000000,1469.00000000,1469.00000000,540
request,sm9_raw,30,0.00512000,446.86380004,1.00000000,0.00000000,0.99979277,0.00000000,320.00000000,512.00000000,60
request,sm9_shaped,30,0.00512000,449.93535876,3.47581586,33.79644546,0.99979277,1.88864583,968.50000000,1353.80000000,60
request,tls_baseline,30,0.00512000,446.49094908,1.00000000,0.00000000,0.99979277,0.00000000,341.00000000,533.00000000,60
#meta {"seed": 20260817}
