discover_ms,topology_entries,connect_ok
0.00389800,1,1
0.00323899,2,1
0.00231400,3,1
0.00244300,4,1
0.00257000,5,1
0.00268400,6,1
0.00194900,7,1
0.00198300,8,1
0.00218700,9,1
0.00249900,10,1
0.00240300,11,1
0.00248400,12,1
0.00231200,13,1
0.00251200,14,1
0.00288500,15,1
0.00258800,16,1
0.00231700,17,1
0.00246400,18,1
0.00228900,19,1
0.00261000,20,1
0.00240900,21,1
0.00340400,22,1
0.00221100,23,1
0.00237999,24,1
0.00252200,25,1
0.00279400,26,1
0.00334800,27,1
0.00259899,28,1
0.00209999,29,1
0.00243400,30,1
#meta {"seed": 20260817, "nat_distribution": "uniform"}
